"kodinspire","full_name","POTA","WWFF"
# National Parks
"PL.ZIPOP.1393.PN.5","Pieniński Park Narodowy","PL-0850","SPFF-0013"
"PL.ZIPOP.1393.PN.6","Świętokrzyski Park Narodowy","PL-0671","SPFF-0018"
"PL.ZIPOP.1393.PN.7","Bieszczadzki Park Narodowy","PL-0191","SPFF-0004"
"PL.ZIPOP.1393.PN.11","Karkonoski Park Narodowy","PL-1807","SPFF-0009"
"PL.ZIPOP.1393.PN.14","Tatrzański Park Narodowy","PL-0910","SPFF-0019"
"PL.ZIPOP.1393.PN.15","Park Narodowy Gór Stołowych","PL-1711","SPFF-0017"
"PL.ZIPOP.1393.PN.16","Magurski Park Narodowy","PL-0495","SPFF-0010"
"PL.ZIPOP.1393.PN.19","Babiogórski Park Narodowy","PL-1110","SPFF-0001"
"PL.ZIPOP.1393.PN.21","Gorczański Park Narodowy","PL-0881","SPFF-0007"
# Landscape parks
"PL.ZIPOP.1393.PK.1","Park Krajobrazowy Gór Sowich","PL-1692","SPFF-0087"
"PL.ZIPOP.1393.PK.5","Łagowsko-Sulęciński Park Krajobrazowy","PL-1832","SPFF-2687"
"PL.ZIPOP.1393.PK.6","Park Krajobrazowy Orlich Gniazd","PL-1156","SPFF-0093"
"PL.ZIPOP.1393.PK.10","Kaszubski Park Krajobrazowy","PL-1476","SPFF-0048"
"PL.ZIPOP.1393.PK.11","Park Krajobrazowy Góry Opawskie","PL-1586","SPFF-0085"
"PL.ZIPOP.1393.PK.14","Park Krajobrazowy Doliny Sanu","PL-0239","SPFF-0084"
"PL.ZIPOP.1393.PK.15","Park Krajobrazowy Gór Słonnych","PL-0279","SPFF-0086"
"PL.ZIPOP.1393.PK.16","Jaśliski Park Krajobrazowy","PL-0442","SPFF-0046"
"PL.ZIPOP.1393.PK.18","Park Krajobrazowy Beskidu Śląskiego","PL-1320","SPFF-0070"
"PL.ZIPOP.1393.PK.26","Park Krajobrazowy Beskidu Małego","PL-1196","SPFF-0069"
"PL.ZIPOP.1393.PK.40","Żywiecki Park Krajobrazowy","PL-1234","SPFF-0145"
"PL.ZIPOP.1393.PK.47","Park Krajobrazowy Góra Św. Anny","PL-1474","SPFF-0088"
"PL.ZIPOP.1393.PK.55","Park Krajobrazowy Wzgórz Dylewskich","PL-0963","SPFF-0106"
"PL.ZIPOP.1393.PK.57","Czarnorzecko-Strzyżowski Park Krajobrazowy","PL-0402","SPFF-0039"
"PL.ZIPOP.1393.PK.90","Popradzki Park Krajobrazowy","PL-0788","SPFF-0110"
"PL.ZIPOP.1393.PK.98","Ciśniańsko-Wetliński Park Krajobrazowy","PL-0247","SPFF-0038"
"PL.ZIPOP.1393.PK.101","Park Krajobrazowy Pasma Brzanki","PL-0596","SPFF-0094"
"PL.ZIPOP.1393.PK.106","Śnieżnicki Park Krajobrazowy","PL-1635","SPFF-0133"
"PL.ZIPOP.1393.PK.114","Jeleniowski Park Krajobrazowy","PL-0598","SPFF-1145"
"PL.ZIPOP.1393.PK.143","Rudawski Park Krajobrazowy","PL-1782","SPFF-0117"
"PL.ZIPOP.1393.PK.144","Park Krajobrazowy Sudetów Wałbrzyskich","PL-1726","SPFF-0104"
"PL.ZIPOP.1393.PK.150","Ślężański Park Krajobrazowy","PL-1666","SPFF-0132"
# Protected landscapes areas
"PL.ZIPOP.1393.OCHK.184","Wschodniobeskidzki Obszar Chronionego Krajobrazu","PL-0264","SPFF-0910"
"PL.ZIPOP.1393.OCHK.185","Obszar Chronionego Krajobrazu Beskidu Niskiego","PL-0471","SPFF-0911"
"PL.ZIPOP.1393.OCHK.186","Hyżnieńsko-Gwoźnicki Obszar Chronionego Krajobrazu","PL-0338","SPFF-0820"
